artist_name,track_name,release_date,genre,lyrics
Aretha Franklin,Respect,1967,soul,"What you want, baby, I got it What you need, do you know I got it? [Chorus] All I'm askin' is for a little respect when you come home (Just a little bit) Hey baby (Just a little bit) when you get home (Just a little bit) mister (Just a little bit)"
Otis Redding,Try a Little Tenderness,1966,soul," Oh, she may be weary And young girls, they do get wearied Wearing that same old shaggy dress, yeah yeah But when she gets weary Try a little tenderness, yeah yeah (Oh my, not) [Verse 2] You know she's waiting Just anticipating For things that she'll never, never, never, never Possess, yeah yeah But while she's there waiting, and without them Try a little tenderness (That's all you gotta do)"
Sam Cooke,A Change Is Gonna Come,1964,soul,"I was born by the river In a little tent Oh, and just like the river, I've been runnin' Ever since [Chorus] It's been a long A long time comin', but I know A change gon' come Oh, yes it will [Verse 2] It's been too hard livin' But I'm afraid to die 'Cause I don't know what's up there Beyond the sky [Chorus] It's been a long A long time comin', but I know A change gon' come Oh, yes it will"
Al Green,Let's Stay Together,1971,soul,"I, I'm so in love with you Whatever you want to do is all right with me 'Cause you make me feel so brand new And I want to spend my life with you [Verse 2] Let me say that since, baby, since we've been together Ooh, loving you forever is what I need Let me be the one you come running to I'll never be untrue"
Marvin Gaye,What's Going On,1971,soul,"Hey, hey-hey Hey, what's happenin'? Hey, brother, what's happenin'? Boy, this is a groovy party (Hey, how you doin'?) Man, I can dig it Yeah, brother, solid, right on What's happenin'? Hey, man, what's happening? Woo Everything is everything We're gonna do a get down today, boy, I'll tell ya [Verse 1] Mother, mother There's too many of you crying Brother, brother, brother There's far too many of you dying You know we've got to find a way To bring some loving here today, yeah"
Etta James,At Last,1960,soul,"At last My love has come along My lonely days are over And life is like a song Oh, yeah, yeah [Verse 2] At last The skies above are blue My heart was wrapped up in clover The night I looked at you [Bridge] I found a dream that I could speak to A dream that I can call my own I found a thrill to press my cheek to A thrill that I've never known, oh, yeah, yeah"
Ray Charles,Georgia on My Mind,1960,soul,"Georgia Georgia The whole day through (The whole day through) Just an old, sweet song Keeps Georgia on my mind (Georgia on my mind) [Verse 2] I said a-Georgia Georgia A song of you (A song of you) Comes as sweet and clear As moonlight through the pines [Refrain] Other arms a-reach out to me Other eyes smile tenderly Still, in the peaceful dreams, I see The road leads back to you"
Sam & Dave,Soul Man,1967,soul,"Comin' to you on a dusty road Good lovin', I got a truckload And when you get it, you got something So don't worry, 'cause I'm coming [Chorus] I'm a soul man I'm a soul man I'm a soul man, come on! I'm a soul man That ain't all, look [Verse 2] That's what I got, the hard way And I'll make it better each and every day So honey, don't you fret, heh 'Cause you ain't seen nothing yet"
Stevie Wonder,Superstition,1972,soul,"Very superstitious Writing's on the wall Very superstitious Ladder's 'bout to fall Thirteen month old baby Broke the looking glass Seven years of bad luck The good things in your past [Chorus] When you believe in things That you don't understand Then you suffer Superstition ain't the way, yeah"
Wilson Pickett,In the Midnight Hour,1965,soul,"I'm gonna wait 'til the midnight hour That's when my love comes tumbling down I'm gonna wait 'til the midnight hour When there's no one else around [Verse 1] I'm gonna take you, girl, and hold you And do all the things I told you In the midnight hour Yes I am, oh, yes I am One more thing I just want to say right here"
Gladys Knight & the Pips,Midnight Train to Georgia,1973,soul,"Mm, L.A. proved too much for the man Too much for the man, he couldn't make it So he's leavin' the life, mm He's come to know, ooh, he said he's goin' He said he's goin' back to find, goin' back to find Ooh, ooh, ooh, what's left of his world The world he left behind Not so long ago "
Isaac Hayes,Theme From Shaft,1971,soul,Who's the black private dick that's a sex machine to all the chicks? (Shaft) Ya damn right [Verse 2] Who is the man that would risk his neck for his brother man? (Shaft) Can you dig it? [Verse 3] Who's the cat that won't cop out when there's danger all about? (Shaft) Right on [Bridge] They say this cat Shaft is a bad mother... (Shut your mouth) I'm talkin' 'bout Shaft (Then we can dig it)
Solomon Burke,Cry to Me,1962,soul,"When your baby leaves you all alone And nobody calls you on the phone Don't you feel like crying? Don't you feel like crying? Well, here I am, my honey C'mon, you cry to me [Verse 2] When you're all alone in your lonely room And there's nothing but the smell of her perfume Don't you feel like crying? Don't you feel like crying? Don't you feel like crying? C'mon, c'mon, cry to me"
The Temptations,My Girl,1964,soul,"I've got sunshine on a cloudy day When it's cold outside, I've got the month of May I guess you'd say What can make me feel this way? [Chorus] My girl, my girl, my girl Talkin' 'bout my girl, my girl [Verse 2] I've got so much honey, the bees envy me I've got a sweeter song than the birds in the trees Well, I guess you'd say What can make me feel this way?"
James Brown,It's a Man's Man's Man's World,1966,soul,"This is a man's world This is a man's world But it wouldn't be nothing Nothing without a woman or a girl [Verse 1] You see, man made the cars To take us over the road Man made the train To carry the heavy load Man made the electric light To take us out of the dark Man made the boat for the water Like Noah made the ark "
Curtis Mayfield,Move On Up,1970,soul,"Hush now, child And don't you cry Your folks might understand you By and by [Chorus] Just move on up Toward your destination Though you may find, from time to time Complication [Verse 2] Bite your lip And take the trip Though there may be wet road ahead And you cannot slip"
Bill Withers,Ain't No Sunshine,1971,soul,Ain't no sunshine when she's gone It's not warm when she's away Ain't no sunshine when she's gone And she's always gone too long Anytime she goes away [Verse 2] Wonder this time where she's gone Wonder if she's gonna stay Ain't no sunshine when she's gone And this house just ain't no home Anytime she goes away
