artist_name,track_name,release_date,lyrics,genre,predicted_genre
"\"\"\"weird al\"\" yankovic\"",christmas at ground zero,1986,christmas grind zero music sleigh bell ring carolers sing airraid sirens christmas grind zero button press radio know test atom bomb drop humanity time lastminute shop time face final destiny cause christmas grind zero panic crowd dodge debris trim tree underneath mushroom cloud hear reindeer rooftop frost windowsill climb chimney better load shoot kill christmas grind zero radiation level okay mutations year christmas grind zero second leave duck cover yuletide lover underneath mistletoe christmas grind zero missiles crazy fluke gonna nuke jolly holiday crazy fluke gonna nuke jolly holiday,pop,pop
"\"\"\"weird al\"\" yankovic\"",king of suede,1984,sale gabardine suit today thirty percent yesterday fortrel polyester leather wool tweed visa mastercard need color shade locate door arcade fabric know city suede portly regular extralong size tailor come wrong size kinds sweatshirts pick size collar rip like flashdance flick size price staff underpay rack custom guarantee shrink fade cause reputation suede need tuxedo junior prom size best taiwan size jacket patch elbow size sell factorydirect size past second grade take life learn trade friends think cause know world suede twoforone sale threepiece suit check suede pajamas suedecovered boot suede underwear choose want step blue suede shoe suede miss giant liquidation sale size look color catalog week mail size sale doubleknit slack today sale yesterday thirty years location stay right door arcade tough competition afraid cause destiny suede suede suede suede suede suede,pop,rock
"\"\"\"weird al\"\" yankovic\"",mr. frump in the iron lung,1983,visit frump hospital frump iron lung hear know frump best friend chump tease tell lie best disagree bring flower afternoon opinion world situation frump reply frump unfortunately soon come frump die bring thing frump amen,pop,country
"\"clarence \"\"frogman\"\" henry\"",ain't got no home,1994,home place roam home place roam lonely home voice sing sing like girl sing like frog lonely home daughter lonely girl home mother father sister brother lonely frog home lonely frog home,pop,pop
"10,000 maniacs",like the weather,1987,color coal lift head pillow fall shiver bone think weather quiver lips force lungs fill breathe lately leave shiver bone think weather quiver voice cold rainy earth away hear sound noon chime bout half shiver bone think weather quiver need scold need grab pull poster dull torpor pull downward long time better days prayers nightly pass away color blind lift head pillow fall shiver bone think weather quiver voice cold rainy earth away shiver quiver,pop,country
10cc,art for art's sake,1976,gimme body gimme mind open heart pull blind gimme gimme gimme kitchen gimme sake money sake sake money sake gimme ready gimme cash gimme bullet gimme smash gimme silver gimme gold million sake money sake sake money sake money talk listen money talk understand money beat root damn hoot gotta makin loot chauffeur drive gotta quick lovin palm hand bread heaven gimme country free need unions bury exile rest days burn hell long pay sake money sake sake money sake sake money sake sake money sake,pop,country
10cc,the wall street shuffle,1974,wall street shuffle hear money rustle watch greenbacks tumble feel crumble need wanna money need luck wanna getty rothschild gotta cool wall street gotta cool wall street index jones time bum wind skid hole pocket plead spare dime time doin doin hughes money better wait hour screw cause wall street shuffle money hustle sell mother doin doin sell wheel deal live instinct follow kill wall street,pop,rock
311,homebrew,1994,hexum know fool chit chat hear talk digi walk strike hear absurd word fact nippin sippin flask passin talkin shit revenge send end defendant catch spiral energy go survival flicka flacka blotter weakness shit keep gettin harder hexum fourth july remember pine tree coat color nineteen shit like scar like independence see insane martinez flow flow brother wise rise pimpin slick step darkness body electric drone buzz cracklin tone boomin like thunder cosmic jungle death defyin like evil knievel word wobble awkwards evil flow hardest crowd marvel like return kiss death aby fresh eternal alien famish pathless ways damage wack know stand right annihilator rockin rhythm rhyme detonator,pop,reggae
a flock of seagulls,you can run,1982,hide away away know hide away piece mind away away mind piece mind today hide hide hide away live hide inside head life dead hide hide hide away hide away away know hide away,pop,pop
a tribe called quest,can i kick it?,1990,kick kick kick kick kick kick kick go kick people quest like tribe know live comprehend track gettin measure vibers roll beat funk fuzz wipe feet good rhythm feel urge freak jitterbug come spread arm need afrocentric live shrug life fill lower plateau diss think nipper doggy shove rhythm fit like snug glove like positives plus tribe fly high like kick kick kick kick kick kick kick kick go kick tribe flow layer right phife poem time studio conveyor dinkins favor track flavor come rhythms quest savior follow funky behavior note rhythm give feel free drop pant check hair like garment wear instruct obeyer rhythm recipe savor matter minor tribe game player inhale like breath fresh kick,pop,country
